""
Home |  Exit
Home |  Exit
"
						                        
						","
                    
", 
 , ,"



Zone


IP



","
Zone
","
IP
"
"
Zone
","
IP
NELLORE,IP_MAMBATTU PHASE-I,1,0,8742,1206,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,Kothapalli Koru Gunta UDL,3,0,162127,485,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,MSME Park Kothapalli KoruGunta,180,0,61021,1182,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,"MSME Park, Bodduvaripalem",196,0,69433,1491,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,SEZ NAIDUPETA,31,0,459416,1656,Valid from:01-07-2020 to	30-09-2020,SEZ LEASE
NELLORE,UDL Amancherla,1,0,644849,0,Price yet to be fixed,ORS GENERAL
PRAKASAM,AN CHIRALA,1,0,0,1998,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,AN_ONGOLE,1,0,61,3344,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,APIIC_ONGOLE_BPSEZ,12,0,157291,1406,Valid from:01-07-2020 to	30-09-2020,SEZ LEASE
PRAKASAM,APIIC_ONGOLE_GC,33,0,108423,1575,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,DMIH,1,0,9519313,0,Price yet to be fixed,ORS GENERAL
PRAKASAM,IP GIDDALUR,72,0,47372,600,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,IP_SINGARAYAKONDA,15,0,25739,1460,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,MSME_Malakondapuram,310,0,103250,644,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,MSME_Ragamakkapalli,89,0,33157,647,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
PRAKASAM,NIMZ,1,0,7218270,0,Price yet to be fixed,ORS GENERAL
SPECIAL PROJECTS,APIIC_ATCHUTAPURAM_APSEZ,35,6,1554676,2352,Valid from:01-07-2020 to	30-09-2020,SEZ LEASE
SPECIAL PROJECTS,IC PUDI,3,0,23847,2352,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
SPECIAL PROJECTS,IP_ATCHUTAPURAM_DenotifiedArea,51,0,1668242,2352,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
SPECIAL PROJECTS,IP_PARAWADA_EXPANSION,2,0,48482,3528,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
